Date,Open,High,Low,Close,Change,Rate,Volume,Amount
2016/3/1,2881.34,2950.44,2863.32,2930.69,53.23,1.85,1160459.18,11049103.78
2016/3/2,2933.92,3054.72,2933.12,3051.33,120.64,4.12,1759723.47,16402516.15
2016/3/3,3050.39,3078.44,3040.25,3058.42,7.09,0.23,1731057.44,16550908.77
2016/3/4,3047.54,3101.66,3032.42,3093.89,35.47,1.16,2191725.34,20552047.55
2016/3/7,3109,3130.9,3083.58,3104.84,10.95,0.35,1324620.37,12779034.45
2016/3/8,3100.15,3109.25,3001.83,3107.67,2.83,0.09,1362357.42,12875848.81
2016/3/9,3045.92,3072.92,3020.13,3071.91,-35.77,-1.15,1114662.45,10629865.28
2016/3/10,3056.21,3074.16,3012.69,3013.15,-58.76,-1.91,760721.97,7818046.86
2016/3/11,2990.21,3026.44,2982.17,3018.28,5.14,0.17,733335.64,7436729.65
2016/3/14,3039.57,3106.8,3034,3065.69,47.41,1.57,1171086.55,12353909.47
2016/3/15,3061.34,3077.08,3028.58,3074.78,9.09,0.3,983119.41,10130284.57
2016/3/16,3068.87,3100.35,3064.52,3090.03,15.25,0.5,1247364.48,12612885.4
2016/3/17,3096.81,3147.84,3077.57,3124.2,34.17,1.11,1216617.77,13660371.58
2016/3/18,3136.22,3197.67,3130.1,3171.96,47.76,1.53,1973025.64,21001781.03
2016/3/21,3203.29,3267.78,3198.36,3249.44,77.47,2.44,2332694.64,25683663.63
2016/3/22,3231.61,3249.68,3218.73,3225.79,-23.65,-0.73,1610208.97,19421198.3
2016/3/23,3217.73,3242.25,3202.98,3236.09,10.3,0.32,1256792.86,15556707.46
2016/3/24,3211.5,3221.91,3181.81,3181.85,-54.24,-1.68,1331311.22,16243603.64
2016/3/25,3176.81,3204.44,3174.32,3197.82,15.97,0.5,973953.3,11519560.44
2016/3/28,3206.95,3229.62,3161.88,3169.73,-28.09,-0.88,1034419.33,12384404.41
2016/3/29,3171.31,3178.07,3122.76,3135.41,-34.32,-1.08,972947.47,11384428.06
2016/3/30,3161.29,3216.68,3161.29,3216.28,80.87,2.58,1178025.12,14072177.45
2016/3/31,3229.2,3241.93,3208.66,3218.09,1.81,0.06,1215520.74,14726761.74
2016/4/1,3213.67,3222.61,3165.86,3221.89,3.81,0.12,1181221.39,12705009.85
2016/4/5,3211.3,3271.93,3205.21,3264.49,42.59,1.32,1460477.72,15929654.37
2016/4/6,3250.52,3267.64,3236.2,3257.53,-6.96,-0.21,1201963.05,13720626.86
2016/4/7,3266.29,3270.82,3208.64,3209.29,-48.24,-1.48,1124094.67,12827306.77
2016/4/8,3189.85,3197.77,3163.31,3185.73,-23.56,-0.73,1010056.25,11392071.65
2016/4/11,3213.51,3251.57,3213.51,3230.1,44.37,1.39,1252127.09,14275949.13
2016/4/12,3227.37,3232.26,3198.9,3218.45,-11.65,-0.36,928694.37,9908655.8
2016/4/13,3237.86,3296.52,3237.86,3261.38,42.93,1.33,1956138.66,20015960.13
2016/4/14,3277.1,3286.07,3252.05,3275.83,14.45,0.44,1131573.27,11798944.35
2016/4/15,3279.86,3282.98,3261.73,3272.21,-3.63,-0.11,998075.29,10796398.23
2016/4/18,3252.67,3252.67,3221.66,3228.45,-43.75,-1.34,970900.69,10395615.01
2016/4/19,3243.97,3250.73,3221.58,3238.3,9.85,0.31,808714.4,9097623.63
2016/4/20,3244.14,3248.42,3107.37,3181.03,-57.28,-1.77,1622078.58,17232469.45
2016/4/21,3160.8,3198.56,3150.94,3160.6,-20.42,-0.64,1047526.51,11032437.9
2016/4/22,3142.56,3175.38,3137.99,3174.9,14.3,0.45,770784.92,8244292.19
2016/4/25,3164.74,3172.27,3137.11,3162.03,-12.87,-0.41,675193.51,7473484.8
2016/4/26,3159.77,3181.1,3150.4,3179.16,17.13,0.54,590207.34,6887155.42
2016/4/27,3181.93,3188.83,3162.69,3165.92,-13.24,-0.42,600041.47,7062040.6
2016/4/28,3169.33,3174.77,3135.64,3160.58,-5.33,-0.17,698706.6,7887676.72
2016/4/29,3153.54,3171.29,3149.4,3156.75,-3.84,-0.12,580297.76,7080770.42
2016/5/3,3159.82,3218.49,3151.4,3213.54,56.79,1.8,981648.35,11573386.76
2016/5/4,3203.47,3222.88,3198.29,3209.46,-4.08,-0.13,908624.08,9779713.48
2016/5/5,3204.17,3217.28,3196.57,3213.92,4.46,0.14,747336.81,8394649.69
2016/5/6,3213.14,3216.89,3130.15,3130.35,-83.57,-2.6,1086802.4,11926521.61
2016/5/9,3115.43,3115.43,3055.01,3065.62,-64.74,-2.07,992304.77,10040921.35
2016/5/10,3055.21,3084.72,3055.18,3069.11,3.5,0.11,688499.35,7065076.41
2016/5/11,3080.64,3102.88,3063.09,3082.81,13.7,0.45,817942.58,8732340.83
2016/5/12,3059.38,3095.35,3035.02,3090.14,7.33,0.24,787657.26,8141879.26
2016/5/13,3081.68,3103.1,3064.69,3074.94,-15.2,-0.49,626297.55,6585099.56
2016/5/16,3064.53,3095.56,3053.66,3095.31,20.37,0.66,594618.56,6440520
2016/5/17,3095.52,3105.2,3073.46,3086.02,-9.28,-0.3,652781.25,7538938.55
2016/5/18,3071.53,3072.61,3039.46,3068.04,-17.99,-0.58,827153.69,8845884.71
2016/5/19,3060.34,3086.98,3058.15,3062.5,-5.54,-0.18,604441.66,6867906.04
